Series UID,Collection,3rd Party Analysis,Data Description URI,Subject ID,Study UID,Study Description,Study Date,Series Description,Manufacturer,Modality,SOP Class Name,SOP Class UID,Number of Images,File Size,File Location,Download Timestamp
1.3.6.1.4.1.14519.5.2.1.4334.1100.331544964786227339924437941922,DRO-Toolkit,null,https://doi.org/10.7937/t0628262,Phantom-100.0-1.0-1.0-1.0-9.0-0.0-100.0-10.0-50.0-0.0,1.3.6.1.4.1.14519.5.2.1.4334.1100.270261185151025244554438766872,NA,10-09-2009,NA,Stanford University,CT,CT Image Storage,1.2.840.10008.5.1.4.1.1.2,300,158.09 MB,.\DRO-Toolkit\Phantom-100.0-1.0-1.0-1.0-9.0-0.0-100.0-10.0-50.0-0.0\10-09-2009-NA-NA-66872\6.000000-NA-41922,2022-04-08T15:32:25.426
1.3.6.1.4.1.14519.5.2.1.4334.1100.149287153529999184294928933250,DRO-Toolkit,null,https://doi.org/10.7937/t0628262,Phantom-100.0-1.0-1.0-1.0-9.0-0.0-100.0-10.0-0.0-0.0,1.3.6.1.4.1.14519.5.2.1.4334.1100.227778435442610900403510215258,NA,10-09-2009,NA,Stanford University,CT,CT Image Storage,1.2.840.10008.5.1.4.1.1.2,300,158.09 MB,.\DRO-Toolkit\Phantom-100.0-1.0-1.0-1.0-9.0-0.0-100.0-10.0-0.0-0.0\10-09-2009-NA-NA-15258\6.000000-NA-33250,2022-04-08T15:32:26.049
